target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.139,0.036,0.0,10.61,13.83,26-04-2022,15:46
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,35.846,0.027,0.0,308.24,311.33,26-04-2022,15:46
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,33.26,0.175,0.0,675.26,678.14,26-04-2022,15:47
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.175,5.762,0.0,413.29,415.64,26-04-2022,15:47
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.07,0.042,0.0,9.68,9.78,28-04-2022,09:44
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,34.336,0.046,0.0,211.31,212.67,28-04-2022,09:45
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.282,0.251,0.0,375.86,378.28,28-04-2022,09:45
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.771,0.167,0.0,578.63,581.21,28-04-2022,09:45
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.057,0.098,0.0,9.93,10.02,28-04-2022,11:43
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,34.38,0.028,0.0,245.77,246.96,28-04-2022,11:43
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.205,0.13,0.0,551.19,554.13,28-04-2022,11:43
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.863,0.155,0.0,569.02,571.79,28-04-2022,11:44
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,37.881,0.053,0.0,9.82,9.97,28-04-2022,17:09
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.805,0.076,0.0,216.26,217.68,28-04-2022,17:09
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.532,0.37,0.0,560.60,563.52,28-04-2022,17:10
